ID;Semestre;Sede;Programa;En su rol como estudiante ¿Que tan identificado se siente con la mision y la vision de la Institucion?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Proyecto Educativo del Programa?;¿ El Proyecto Educativo del Programa garantiza el funcionamiento de su programa?; ¿El numero de docentes es suficientes para satisfacer las necesidades academicas de su programa?;¿La relacion entre la cantidad de estudiantes de su programa y los recursos académicos (libros, material de apoyo, bases de datos, guías de talleres, asesorías)  disponibles es la adecuada?;¿La relación entre la cantidad de estudiantes de su programa y los recursos físicos( laboratorios, salas de cómputo, bibliotecas, aulas de clase, equipos audiovisuales) disponibles es la adecuada?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Reglamento Estudiantil?;¿Cuál es el medio a través del cual consulta el Reglamento Estudiantil?;¿Conoce los comités directivos del programa en los que puede participar como estudiante?;¿La participación de los estudiantes en los comités del programa ha contribuido con la toma decisiones?;¿Los docentes del programa cumplen con las expectativas en cuanto a experiencia para desarrallar las actividades académicas?;¿ Considera que la aplicación de las políticas en cuanto a la permanencia de sus docentes,  es?:;En el desarrollo de sus cursos, ¿ Usted utiliza materiales de apoyo o guías producidas por sus profesores? Si su respuesta es afirmativa, continúe con la siguiente pregunta;La calidad de los materiales de apoyo producidos por los profesores para el desarrollo de las actividades académicas, es:;De acuerdo con la metodología del programa, la pertinencia (adecuado) de los materiales de apoyo producidos por sus profesores para llevar a cabo las actividades académicas, es:;¿Conoce la reglamentación que regula la flexibilidad (entendida como movilidad, créditos optativos, créditos homologables, cursos electivos, alternativas de opción de grado) de su  plan de estudios?;¿ La reglamentación que regula la flexibilidad de su plan de estudios es eficaz y se aplica adecuadamente?;¿Considera que las estrategias llevadas a cabo para fomentar la interdisciplinariedad (relación de sus actividades académicas con otras disciplinas o áreas de conocimiento), han contribuido al mej...;¿ Existe correspondencia entre los métodos de enseñanza y aprendizaje que se emplean en su programa con los contenidos del Plan de Estudio?;¿Conoce las condiciones y exigencias académicas de permanencia y graduación ( entendidas como las estrategias que permitan al estudiante la culminación de sus estudios) de su programa?;¿Las estrategias que implementa el programa para que sus estudiantes finalicen su plan de estudios son adecuadas?;¿La reglamentación que regula la evaluación de su desempeño académico se divulga y se aplica adecuadamente?;¿ La evaluación que se realiza de su desempeño académico es coherente con los métodos pedagógicos (entendidos como estrategias de enseñanza)  empleados por los profesores?;¿El sistema de evaluación académica utilizado para valorar su desempeño académico le permite adquirir competencias, actitudes, conocimientos, capacidades y habilidades propias del programa?;¿Los procesos de evaluación y autoevaluación del programa han contribuido al mejoramiento de la calidad del mismo?;¿Conoce los programas que brinda Bienestar Institucional a la comunidad académica?;¿Las estrategias de divulgación de los programas que brinda Bienestar Institucional a la comunidad académica son efectivas?;¿Los servicios y actividades que brinda Bienestar Institucional han contribuido a su desarrollo personal?;¿Las orientaciones dadas en cuanto a los procesos administrativos que desarrolla su programa permiten cumplir a cabalidad con las funciones de docencia, investigación y proyección social?;¿La página web de la Institución es un buen medio para mantenerse informado?;¿Con que frecuencia consulta la página web de la Institución para mantenerse informado sobre temas de interés?;¿Cómo califica la efectividad de los sistemas de información académica (correos electrónicos, plataformas virtuales, bibliotecas digitales, etc.) de su Programa:;¿Cómo califica la efectividad de los procesos comunicativos ( medios utilizados para informar al estudiante) al interior de su Programa:;¿Cómo califica la calidad del acceso a los sistemas de comunicación e información del programa?;¿Cómo califica la orientación académica que ofrecen los directivos a su programa?;¿Cómo califica el liderazgo que demuestran los directivos de su programa?
824;2;Popayan;Psicologia;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Carteleras;SI;Totalmente;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Excelente;Excelente;Excelente;Excelente;Excelente
825;5;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;Nada;En cierta parte;En cierta parte;SI;Otros;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Casi siempre;Regular;Buena;Regular;Buena;Buena
826;9;Popayan;Ingenieria de Sistemas;En cierta parte;SI;Totalmente;En cierta parte;En cierta parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;SI;En cierta parte;En cierta parte;En cierta parte;SI;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Buena;Excelente;Buena;Buena;Buena
827;5;Popayan;Licenciatura en Educacion Artistica y Cultural;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Totalmente;En gran parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Regular;Regular
828;6;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Regular;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Regular;Regular
829;2;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;En gran parte;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Excelente;Buena
830;1;Popayan;Trabajo Social;Totalmente;SI;Totalmente;Totalmente;En gran parte;En gran parte;NO;Sin respuesta;SI;En gran parte;Totalmente;Excelente;SI;Buena;Buena;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;Siempre;Excelente;Buena;Excelente;Excelente;Excelente
831;1;Popayan;Psicologia;Totalmente;SI;Totalmente;En gran parte;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;En gran parte;Totalmente;Totalmente;Casi siempre;Regular;Buena;Buena;Buena;Buena
832;7;Popayan;Contaduria Publica;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;En gran parte;Totalmente;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Excelente;Excelente;Excelente;Excelente;Excelente
833;8;Norte - Santander de Q;Psicologia;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;En gran parte;Buena;SI;Buena;Buena;SI;Totalmente;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
834;4;Popayan;Administracion de Empresas ;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Algunas veces ;Excelente;Excelente;Excelente;Excelente;Excelente
835;1;Popayan;Psicologia;Totalmente;SI;Totalmente;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;Nada;En cierta parte;En cierta parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
836;8;Norte - Santander de Q;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
837;10;Norte - Santander de Q;Psicologia;Totalmente;SI;En gran parte;Totalmente;En gran parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;Totalmente;Buena;SI;Excelente;Excelente;SI;En gran parte;Totalmente;Totalmente;SI;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Excelente;Excelente
838;7;Popayan;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;Totalmente;En gran parte;En cierta parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Excelente;SI;Totalmente;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Casi siempre;Excelente;Excelente;Buena;Excelente;Excelente
839;8;Popayan;Licenciatura en Educacion Artistica y Cultural;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Nada;En cierta parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
840;9;Popayan;Contaduria Publica;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;SI;En gran parte;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
841;5;Popayan;Trabajo Social;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Regular;Regular;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;Nada;Nada;Nada;Nada;Nada;Nada;Nunca;Mala;Mala;Regular;Mala;Mala
842;4;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;Nada;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;Nada;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Regular
843;10;Norte - Santander de Q;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;SI;En cierta parte;En cierta parte;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Regular;Buena
844;4;Popayan;Contaduria Publica;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;En gran parte;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Casi siempre;Excelente;Excelente;Buena;Excelente;Excelente
845;4;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;Nada;SI;Otros;SI;Nada;En cierta parte;Regular;SI;Regular;Regular;SI;En cierta parte;En cierta parte;En cierta parte;SI;En gran parte;Totalmente;En cierta parte;Nada;Nada;En cierta parte;En gran parte;En cierta parte;En cierta parte;Nada;Casi siempre;Regular;Regular;Buena;Buena;Buena
846;5;Popayan;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Excelente;Excelente;Excelente;Excelente;Excelente
847;9;Popayan;Psicologia;En cierta parte;SI;En cierta parte;En cierta parte;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Mala;NO;;Regular;NO;Sin respuesta;En cierta parte;Nada;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Regular;Regular
848;10;Norte - Santander de Q;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;Nada;Nada;SI;Medios impresos;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Regular;Regular
849;7;Popayan;Psicologia;En gran parte;SI;Totalmente;En cierta parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Buena;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Totalmente;En gran parte;Totalmente;Siempre;Buena;Excelente;Buena;Buena;Buena
850;7;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;Totalmente;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Buena;Regular;NO;Sin respuesta;En cierta parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Excelente;Excelente;Excelente;Buena;Excelente
851;2;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Excelente;Buena;Buena;Buena;Buena
852;5;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;SI;En cierta parte;En gran parte;Buena;SI;Excelente;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;Totalmente;En cierta parte;En gran parte;En cierta parte;En cierta parte;Totalmente;Siempre;Excelente;Excelente;Excelente;Excelente;Buena
853;8;Popayan;Ingenieria Industrial;Totalmente;SI;Totalmente;En cierta parte;Totalmente;Totalmente;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;Totalmente;Totalmente;En gran parte;En cierta parte;En cierta parte;En gran parte;Totalmente;Siempre;Excelente;Buena;Regular;Excelente;Buena
854;2;Popayan;Psicologia;Totalmente;NO;Sin respuesta;En gran parte;En cierta parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Nada;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;Nada;Totalmente;En gran parte;Totalmente;Totalmente;Siempre;Regular;Regular;Regular;Regular;Regular
855;9;Popayan;Psicologia;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;SI;Totalmente;Totalmente;Buena;SI;Buena;Buena;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
856;8;Popayan;Psicologia;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Excelente;NO;Sin respuesta;En gran parte;Totalmente;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;Totalmente;En cierta parte;En cierta parte;En gran parte;Totalmente;Totalmente;Casi siempre;Excelente;Buena;Buena;Buena;Buena
857;8;Popayan;Ingenieria de Sistemas;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;Nada;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Regular;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En cierta parte;Nada;En cierta parte;En cierta parte;Nada;Nada;Nada;En cierta parte;En cierta parte;Casi siempre;Regular;Regular;Buena;Excelente;Excelente
858;8;Popayan;Administracion de Empresas ;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;NO;Sin respuesta;Regular;SI;En gran parte;En cierta parte;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Regular;Buena;Buena;Buena
859;5;Popayan;Contaduria Publica;Totalmente;SI;Totalmente;En cierta parte;En cierta parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Totalmente;Totalmente;Casi siempre;Excelente;Buena;Buena;Buena;Buena
860;9;Popayan;Psicologia;Totalmente;SI;En gran parte;En cierta parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Regular;SI;Buena;Regular;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Algunas veces ;Regular;Buena;Buena;Buena;Buena
861;9;Popayan;Psicologia;En gran parte;SI;En gran parte;En cierta parte;Nada;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Regular;Buena;Regular
862;9;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;SI;En gran parte;En gran parte;Excelente;SI;Excelente;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
863;2;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;Totalmente;Nada;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;En gran parte;Nada;Nada;Nada;En cierta parte;En gran parte;Algunas veces ;Excelente;Excelente;Excelente;Excelente;Buena
864;3;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En gran parte;En gran parte;Nada;En gran parte;Totalmente;En gran parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Regular;Buena
865;2;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Nada;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;En gran parte;En gran parte;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Nada;En cierta parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Mala;Buena;Buena;Buena;Buena
866;5;Popayan;Trabajo Social;Totalmente;SI;En gran parte;En cierta parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Buena;Buena;Buena;Buena
867;6;Popayan;Trabajo Social;Totalmente;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;SI;Pagina web institucional;SI;En gran parte;En gran parte;Buena;NO;Sin respuesta;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;Siempre;Buena;Buena;Buena;Buena;Buena
868;8;Popayan;Ingenieria Industrial;En gran parte;SI;En gran parte;En cierta parte;En cierta parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;SI;En gran parte;En gran parte;En cierta parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Regular;Buena;Regular
869;3;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;Totalmente;NO;Sin respuesta;En gran parte;En cierta parte;En gran parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;Totalmente;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;Totalmente;SI;En gran parte;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Excelente;Buena
870;2;Popayan;Psicologia;Totalmente;SI;Totalmente;En cierta parte;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;En gran parte;En gran parte;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Buena;Buena;Buena;Buena;Buena
871;1;Popayan;Ingenieria de Sistemas;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Excelente
872;6;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Buena;SI;Excelente;Excelente;SI;En gran parte;En cierta parte;En cierta parte;SI;En gran parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Totalmente;Algunas veces ;Buena;Buena;Buena;Buena;Buena
873;1;Popayan;Ingenieria de Sistemas;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;Totalmente;Totalmente;Algunas veces ;Excelente;Excelente;Excelente;Excelente;Excelente
874;1;Popayan;Ingenieria de Sistemas;Totalmente;NO;Sin respuesta;En gran parte;Totalmente;En cierta parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En cierta parte;Totalmente;Totalmente;Totalmente;En cierta parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Buena;Excelente;Buena;Buena;Buena
875;3;Popayan;Ingenieria de Sistemas;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En cierta parte;En gran parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Casi siempre;Regular;Regular;Buena;Buena;Buena
876;5;Norte - Santander de Q;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Mala;Regular;Buena;Buena
877;1;Popayan;Ingenieria de Sistemas;Totalmente;SI;En gran parte;Totalmente;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Siempre;Buena;Excelente;Buena;Buena;Buena
878;1;Popayan;Ingenieria de Sistemas;En gran parte;NO;Sin respuesta;En gran parte;Nada;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
879;2;Popayan;Ingenieria de Sistemas;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Excelente;Excelente;Excelente;Excelente;Excelente
